ExpsampleID,BiosampleID,ExperimentID,ReagentID,TreatmentID,filename,CompFiles,ExpsampleName,ExpsampleDescription,AdditionalResults,StudyID,protocolIDs,SubjectID,PlannedVisitID,Type,Subtype,BiosampleName,BiosampleDescription,StudyTimeCollected,StudyTimeCollectedUnit,StudyTimeToEvent,StudyTimeToEventSpecify,ExperimentName,ExperimentDescription,MeasurementTechnique
ILT_02-INF032-Ctrl_Antibody,INF032,ILT_02,AntibodyPanel,ICS_Media,DTR_2023_ILT_02-INF032-Ctrl_Antibody.fcs,,,,,study_1716,protocol_1716_1,INF032,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF032-Ctrl_Tetramer,INF032,ILT_02,TetramerPanel,ICS_Media,DTR_2023_ILT_02-INF032-Ctrl_Tetramer.fcs,,,,,study_1716,protocol_1716_1,INF032,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF032-Ctrl_Unstained,INF032,ILT_02,Unstained,ICS_Media,DTR_2023_ILT_02-INF032-Ctrl_Unstained.fcs,,,,,study_1716,protocol_1716_1,INF032,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF032-PMA_Antibody,INF032,ILT_02,AntibodyPanel,ICS_PMA,DTR_2023_ILT_02-INF032-PMA_Antibody.fcs,,,,,study_1716,protocol_1716_1,INF032,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF032-PMA_Unstained,INF032,ILT_02,Unstained,ICS_Media,DTR_2023_ILT_02-INF032-PMA_Unstained.fcs,,,,,study_1716,protocol_1716_1,INF032,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF148-Ctrl_Antibody,INF148,ILT_02,AntibodyPanel,ICS_Media,DTR_2023_ILT_02-INF148-Ctrl_Antibody.fcs,,,,,study_1716,protocol_1716_1,INF148,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF148-Ctrl_Tetramer,INF148,ILT_02,TetramerPanel,ICS_Media,DTR_2023_ILT_02-INF148-Ctrl_Tetramer.fcs,,,,,study_1716,protocol_1716_1,INF148,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF148-Ctrl_TetramerControl,INF148,ILT_02,TetramerControlPanel,ICS_Media,DTR_2023_ILT_02-INF148-Ctrl_TetramerControl.fcs,,,,,study_1716,protocol_1716_1,INF148,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF148-Ctrl_Unstained,INF148,ILT_02,Unstained,ICS_Media,DTR_2023_ILT_02-INF148-Ctrl_Unstained.fcs,,,,,study_1716,protocol_1716_1,INF148,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF148-PMA_Antibody,INF148,ILT_02,AntibodyPanel,ICS_PMA,DTR_2023_ILT_02-INF148-PMA_Antibody.fcs,,,,,study_1716,protocol_1716_1,INF148,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF148-PMA_Unstained,INF148,ILT_02,Unstained,ICS_Media,DTR_2023_ILT_02-INF148-PMA_Unstained.fcs,,,,,study_1716,protocol_1716_1,INF148,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
ILT_02-INF161-Ctrl_Antibody,INF161,ILT_02,AntibodyPanel,ICS_Media,DTR_2023_ILT_02-INF161-Ctrl_Antibody.fcs,,,,,study_1716,protocol_1716_1,INF161,plannedvisit_1716_1,Cord blood,,,,0,Days,Not Specified,,ILT_02,,Spectral Flow Cytometry
