"ExpsampleID","BiosampleID","ExperimentID","ReagentID","TreatmentID","filename","CompFiles","ExpsampleName","ExpsampleDescription","AdditionalResults","StudyID","protocolIDs","SubjectID","PlannedVisitID","Type","Subtype","BiosampleName","BiosampleDescription","StudyTimeCollected","StudyTimeCollectedUnit","StudyTimeToEvent","StudyTimeToEventSpecify","ExperimentName","ExperimentDescription","MeasurementTechnique"
"ILT_12-INF318-Ctrl_Antibody","INF318","ILT_12","AntibodyPanel","ICS_Media","DTR_2023_ILT_12-INF318-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF318","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF318-Ctrl_Tetramer","INF318","ILT_12","TetramerPanel","ICS_Media","DTR_2023_ILT_12-INF318-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF318","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF318-Ctrl_Unstained","INF318","ILT_12","Unstained","ICS_Media","DTR_2023_ILT_12-INF318-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF318","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF318-PMA_Antibody","INF318","ILT_12","AntibodyPanel","ICS_PMA","DTR_2023_ILT_12-INF318-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF318","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF318-PMA_Unstained","INF318","ILT_12","Unstained","ICS_Media","DTR_2023_ILT_12-INF318-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF318","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF523-Ctrl_Antibody","INF523","ILT_12","AntibodyPanel","ICS_Media","DTR_2023_ILT_12-INF523-Ctrl_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF523","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF523-Ctrl_Tetramer","INF523","ILT_12","TetramerPanel","ICS_Media","DTR_2023_ILT_12-INF523-Ctrl_Tetramer.fcs","","","","","study_1716","protocol_1716_1","INF523","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF523-Ctrl_Unstained","INF523","ILT_12","Unstained","ICS_Media","DTR_2023_ILT_12-INF523-Ctrl_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF523","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF523-PMA_Antibody","INF523","ILT_12","AntibodyPanel","ICS_PMA","DTR_2023_ILT_12-INF523-PMA_Antibody.fcs","","","","","study_1716","protocol_1716_1","INF523","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
"ILT_12-INF523-PMA_Unstained","INF523","ILT_12","Unstained","ICS_Media","DTR_2023_ILT_12-INF523-PMA_Unstained.fcs","","","","","study_1716","protocol_1716_1","INF523","plannedvisit_1716_1","Cord blood","","","","0","Days","Not Specified","","ILT_12","","Spectral Flow Cytometry"
