sample,pop,count
2025_07_29_AB_03-INF134-00_Ctrl.fcs,root,1205504
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC,1088093
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC,965389
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB,876164
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45,689676
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes,550985
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris,540628
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes,394202
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live,349664
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+,62609
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-,287055
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells,127289
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+,1251
2025_07_29_AB_03-INF134-00_Ctrl.fcs,/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-,126038
