name,Date,CurrentConcentration,TotalVolume,TotalCells,DesiredConcentration,NeededVolume,IncreaseVolumeML,SpinDown,TubeMaxML,TotalTubes
INF124-7_00_01,30-Jul-25,9e+06,1,9e+06,6e+06,1.5,0.5,FALSE,1,1.5
INF124-7_04_01,30-Jul-25,1.7e+07,0.5,8.5e+06,6e+06,1.4,0.92,FALSE,1,1.4
INF124-7_04_02,30-Jul-25,1.6e+07,0.5,8e+06,6e+06,1.3,0.83,FALSE,1,1.3
INF124-7_09_01,30-Jul-25,4800000,1,4.8e+06,6e+06,0.8,-0.2,TRUE,1,0.8
Spin_INF124-7_09_01,30-Jul-25,NA,NA,4.8e+06,6e+06,0.8,0.8,FALSE,1,0.8
INF124-7_09_02,30-Jul-25,6200000,1,6.2e+06,6e+06,1,0.033,FALSE,1,1
INF149-4_00_01,30-Jul-25,7700000,1,7.7e+06,6e+06,1.3,0.28,FALSE,1,1.3
INF149-4_00_02,30-Jul-25,1.1e+07,1,1.1e+07,6e+06,1.8,0.83,FALSE,1,1.8
INF149-4_04_01,30-Jul-25,8400000,0.5,4.2e+06,6e+06,0.7,0.2,FALSE,1,0.7
INF149-4_04_02,30-Jul-25,8400000,0.5,4.2e+06,6e+06,0.7,0.2,FALSE,1,0.7
INF149-4_09_01,30-Jul-25,6200000,0.5,3.1e+06,6e+06,0.52,0.017,FALSE,1,0.52
INF149-4_09_02,30-Jul-25,6e+06,0.5,3e+06,6e+06,0.5,0,FALSE,1,0.5
INF169-6_00_01,30-Jul-25,6700000,1,6.7e+06,6e+06,1.1,0.12,FALSE,1,1.1
INF169-6_00_02,30-Jul-25,6400000,1,6.4e+06,6e+06,1.1,0.067,FALSE,1,1.1
INF169-6_04_01,30-Jul-25,6600000,0.5,3.3e+06,6e+06,0.55,0.05,FALSE,1,0.55
INF169-6_04_02,30-Jul-25,7e+06,0.5,3.5e+06,6e+06,0.58,0.083,FALSE,1,0.58
INF169-6_09_01,30-Jul-25,8500000,0.5,4.2e+06,6e+06,0.7,0.2,FALSE,1,0.7
INF169-6_09_02,30-Jul-25,6700000,0.5,3.4e+06,6e+06,0.57,0.067,FALSE,1,0.57
ND006_04,30-Jul-25,9e+06,1,9e+06,6e+06,1.5,0.5,FALSE,1,1.5
ND050_04,30-Jul-25,7200000,1,7.2e+06,6e+06,1.2,0.2,FALSE,1,1.2
NY068_04,30-Jul-25,1.8e+07,1,1.8e+07,6e+06,3,2,FALSE,1,3
