"Sample","Experiment","Condition","Cluster","Count","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_06-UV8_04",95170,270.636199951172,383.624481201172,365.623413085938,429.140167236328,695.635437011719,1134.21142578125,2410.86083984375,1730.30688476562,1755.78759765625,662.237121582031,423.263214111328,219.054153442383,183.320922851562,231.492889404297,180.510848999023,138.443618774414,401.059478759766,1376.72045898438,2264.931640625,2395.69287109375,3676.16137695312,3589.08032226562,4970.14892578125,3875.828125,2575.92016601562,2978.43408203125,1420.84118652344,791.975952148438,714.473571777344,621.856079101562,506.335845947266,301.060577392578,1520.63842773438,1822.56555175781,2709.90307617188,1839.96630859375,1581.42895507812,1287.43981933594,842.48193359375,673.015441894531,634.900756835938,387.659622192383,259.0205078125,218.977874755859,209.302627563477,218.856216430664,726.546875,606.791259765625,617.154998779297,671.35009765625,490.417846679688,451.696899414062,640.295654296875,260.858978271484,248.969039916992,122.120300292969,204.061126708984,232.227584838867,246.364837646484,239.394989013672,187.449142456055,132.700881958008,144.913177490234,100.687866210938
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_05-UV8_04",78548,285.139251708984,400.611297607422,377.086959838867,439.858489990234,719.869079589844,1172.69067382812,2439.08410644531,1749.24572753906,1718.91467285156,639.723266601562,395.208282470703,203.514068603516,167.012191772461,211.641998291016,169.857757568359,131.034149169922,424.661590576172,1463.26281738281,2404.91479492188,2523.35473632812,3779.40490722656,3629.880859375,5048.9638671875,3827.05810546875,2536.88916015625,2927.11669921875,1388.10803222656,774.911743164062,698.323120117188,608.367767333984,496.794158935547,295.856796264648,1391.63366699219,1653.7373046875,2296.69360351562,1681.06408691406,1452.59533691406,1181.35900878906,765.405334472656,615.830200195312,580.57080078125,351.948944091797,233.438247680664,197.759368896484,192.46337890625,201.375473022461,688.3603515625,550.266662597656,554.890014648438,605.500793457031,435.420989990234,403.122863769531,582.562133789062,230.407333374023,223.406158447266,106.500259399414,178.707107543945,200.733535766602,219.034255981445,212.874984741211,164.706924438477,112.746337890625,130.490829467773,90.323860168457
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_06-UV8_03",51782,245.698822021484,336.365417480469,322.05517578125,379.008239746094,617.99169921875,1006.83892822266,2195.86682128906,1405.28259277344,1655.56298828125,664.364990234375,458.704559326172,250.40576171875,209.712646484375,262.260070800781,207.012084960938,156.533401489258,382.467102050781,1349.11645507812,2273.09497070312,2434.49755859375,3804.13415527344,3748.27111816406,5319.79907226562,4141.99853515625,2790.45434570312,3245.88232421875,1603.51586914062,907.949371337891,823.358642578125,720.142944335938,588.728576660156,351.099487304688,1567.38659667969,1928.14624023438,2897.42504882812,1995.31750488281,1731.12036132812,1423.9013671875,955.996063232422,767.900909423828,723.419860839844,451.845703125,304.832244873047,262.115203857422,245.529418945312,261.933776855469,778.489135742188,698.2197265625,724.429992675781,808.163146972656,597.504089355469,559.950561523438,765.944946289062,329.434600830078,305.947357177734,163.401824951172,274.302154541016,309.2861328125,321.864807128906,306.994995117188,245.318283081055,177.997055053711,189.779190063477,129.298797607422
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_07-UV8_04",42815,243.992568969727,341.71923828125,330.05615234375,388.166290283203,633.163513183594,1036.46997070312,2240.77197265625,1589.08374023438,1670.93237304688,637.6640625,417.638671875,218.104095458984,180.005035400391,227.126358032227,180.576614379883,139.444900512695,351.456237792969,1205.98034667969,2005.97680664062,2122.45434570312,3331.0400390625,3297.6474609375,4528.66748046875,3607.20141601562,2401.58569335938,2779.39697265625,1326.48449707031,741.064208984375,666.786437988281,578.498291015625,469.701385498047,277.350677490234,1535.67224121094,1852.06176757812,2890.66870117188,1849.72290039062,1588.58642578125,1289.45556640625,847.045715332031,677.079406738281,635.47412109375,390.632537841797,263.539123535156,222.129150390625,211.988647460938,221.492202758789,715.155395507812,615.128601074219,624.679992675781,680.584594726562,501.277099609375,460.415313720703,651.258544921875,269.957122802734,250.650802612305,124.486968994141,209.688171386719,238.079299926758,251.753067016602,244.074996948242,191.440124511719,136.9404296875,148.550109863281,102.446601867676
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_05-UV8_03",41891,263.286224365234,366.373260498047,341.082672119141,400.241363525391,652.866149902344,1058.28173828125,2246.76391601562,1377.69189453125,1610.13647460938,616.591674804688,392.633209228516,209.621520996094,171.816848754883,219.199447631836,172.948471069336,132.102188110352,404.869689941406,1398.17846679688,2317.03491210938,2444.10473632812,3733.79516601562,3616.50927734375,5184.94677734375,3891.06420898438,2593.99267578125,3006.03369140625,1444.51611328125,815.430480957031,736.250549316406,644.859375,526.463928222656,312.570892333984,1398.50622558594,1684.24328613281,2357.71557617188,1725.61413574219,1495.9013671875,1224.51843261719,803.074340820312,647.833618164062,609.169250488281,375.588897705078,247.202621459961,211.134735107422,206.272262573242,217.468856811523,698.963745117188,580.012756347656,591.289978027344,647.553405761719,474.444244384766,439.518798828125,625.599243164062,257.124664306641,247.758163452148,119.821243286133,201.732696533203,226.507369995117,245.520904541016,238.029998779297,182.634628295898,132.605255126953,146.041870117188,100.939109802246
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_06-UV8_05",36585,257.773773193359,364.1259765625,354.395172119141,416.590209960938,679.70849609375,1120.69909667969,2371.64086914062,1893.39819335938,1710.12243652344,632.51611328125,388.363983154297,195.167205810547,163.560974121094,202.673828125,165.977920532227,123.090660095215,359.852813720703,1246.76477050781,2052.18823242188,2169.77197265625,3297.18188476562,3197.39477539062,4332.94873046875,3402.29614257812,2250.20239257812,2593.14477539062,1212.70739746094,671.613586425781,601.698486328125,519.7353515625,419.555328369141,252.606903076172,1384.83264160156,1644.57836914062,2378.41552734375,1646.19885253906,1408.20483398438,1139.5673828125,730.126892089844,587.310119628906,546.955017089844,331.031158447266,217.032211303711,185.854583740234,182.511352539062,185.767654418945,658.269653320312,529.776550292969,533.679992675781,576.94482421875,415.594116210938,378.420715332031,550.318237304688,218.355667114258,213.046463012695,95.6811828613281,162.925506591797,186.268615722656,201.701065063477,198.25,149.186462402344,105.765441894531,113.62296295166,81.9070358276367
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_07-UV8_05",26261,241.498840332031,341.388763427734,333.8212890625,392.982757568359,640.371765136719,1060.40808105469,2284.14526367188,1779.765625,1671.13684082031,625.720764160156,386.195495605469,197.270889282227,162.613571166992,204.756332397461,165.320327758789,123.89168548584,326.195983886719,1126.61437988281,1866.91638183594,1968.67211914062,3050.43310546875,2997.7802734375,4036.80102539062,3216.40063476562,2130.08520507812,2451.9775390625,1150.60339355469,636.291381835938,568.49462890625,489.900726318359,394.342987060547,237.030059814453,1437.09313964844,1711.35961914062,2592.81860351562,1693.54663085938,1437.91906738281,1168.1484375,752.148742675781,601.679016113281,566.522399902344,345.215148925781,227.737838745117,190.12629699707,185.059616088867,189.860366821289,660.562316894531,545.32080078125,549.780029296875,596.408325195312,428.344970703125,392.467041015625,564.844970703125,222.361572265625,213.786437988281,99.4002380371094,169.328689575195,193.698318481445,205.401412963867,203.709991455078,158.055297851562,108.761810302734,120.144371032715,83.1632766723633
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_05-UV8_05",21957,267.551849365234,375.296295166016,355.605407714844,416.997253417969,684.376770019531,1129.34143066406,2356.11645507812,1930.45812988281,1673.72680664062,605.540649414062,364.984893798828,186.888198852539,149.620727539062,194.007965087891,157.560653686523,113.545127868652,380.526702880859,1319.52282714844,2180.10400390625,2285.53588867188,3413.33520507812,3279.47583007812,4452.90087890625,3420.80737304688,2260.71606445312,2597.6318359375,1217.85412597656,673.298950195312,604.546508789062,526.496887207031,428.609466552734,257.155883789062,1285.32287597656,1508.13110351562,2036.43432617188,1526.03576660156,1311.25427246094,1065.91918945312,678.259521484375,547.178833007812,515.561157226562,308.680633544922,204.519149780273,169.958206176758,171.560668945312,175.154342651367,625.528137207031,482.154571533203,484.610015869141,528.854248046875,377.341522216797,346.453186035156,507.9599609375,194.795532226562,195.556060791016,89.4602203369141,149.148956298828,167.003982543945,186.250518798828,182.90998840332,137.466934204102,90.719841003418,108.167556762695,79.5201721191406
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_07-UV8_03",19363,223.97705078125,298.756469726562,286.218994140625,334.574645996094,559.570129394531,919.797668457031,2052.50341796875,1291.65002441406,1583.28271484375,643.292541503906,465.548858642578,252.373718261719,209.780303955078,268.776275634766,210.89192199707,162.007064819336,335.086486816406,1212.37512207031,2050.7685546875,2211.82446289062,3517.77075195312,3495.54760742188,4878.591796875,3907.36840820312,2630.4814453125,3080.74829101562,1531.66748046875,867.746643066406,786.403686523438,685.289428710938,560.800048828125,327.734191894531,1570.10693359375,1953.74816894531,3108.953125,2014.29248046875,1751.03820800781,1440.56762695312,970.9912109375,780.564392089844,736.966491699219,457.970611572266,313.869476318359,266.947143554688,251.314682006836,264.084197998047,782.286315917969,715.247741699219,744.169982910156,841.05224609375,628.225280761719,584.1337890625,793.742614746094,342.063385009766,319.19970703125,165.599456787109,296.810302734375,330.06298828125,343.222900390625,325.389984130859,261.313873291016,185.583602905273,200.72135925293,133.852676391602
"INF019_00_Unstained","2025_08_05_AB_05","NA","V7_10-B3_04-UV8_04",17966,276.279907226562,388.647796630859,356.076049804688,422.152893066406,688.118194580078,1132.77099609375,2333.40844726562,1689.60229492188,1618.96276855469,590.920349121094,353.972991943359,177.218063354492,145.628143310547,186.282577514648,149.505073547363,114.212646484375,417.393981933594,1445.74829101562,2377.83386230469,2490.123046875,3676.43383789062,3491.15893554688,4897.70483398438,3608.19812011719,2377.87817382812,2747.23901367188,1284.62438964844,710.271392822266,650.115051269531,565.323669433594,462.249114990234,275.662017822266,1230.48510742188,1461.9755859375,1797.91717529297,1489.66394042969,1287.61315917969,1046.26525878906,667.647003173828,542.570648193359,512.9091796875,307.427017211914,206.778457641602,163.585647583008,173.144729614258,175.258392333984,626.172912597656,475.795562744141,480.480010986328,528.996276855469,378.287322998047,343.754638671875,510.641296386719,194.93132019043,198.078720092773,87.6683082580566,154.258575439453,162.33576965332,188.16561126709,184.567489624023,140.032554626465,90.1779479980469,110.738494873047,80.5879745483398
