"sample","pop","count"
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","root",1284824
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC",1149119
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC",931095
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",865836
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",836573
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",780314
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",772195
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",627784
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",596285
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",58551
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",537734
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",182751
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1544
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",181207
"2025_08_22_AB_07-INF013-00_Ctrl (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",1649
