"sample","pop","count"
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","root",1309848
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC",1169793
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC",941515
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",876615
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",843590
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",793952
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",786331
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",640422
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",600676
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",56784
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",543892
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",182108
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1774
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",180334
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",1607
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",178727
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",154465
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",24262
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",22725
"2025_08_22_AB_07-INF013-00_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",1537
"2025_08_22_AB_07-INF013-04_PPD (Unmixed).fcs","root",1021264
"2025_08_22_AB_07-INF013-04_PPD (Unmixed).fcs","/singletsFSC",890816
"2025_08_22_AB_07-INF013-04_PPD (Unmixed).fcs","/singletsFSC/singletsSSC",775431
"2025_08_22_AB_07-INF013-04_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",680459
"2025_08_22_AB_07-INF013-04_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",615551
"2025_08_22_AB_07-INF013-04_PPD (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",521641
