"sample","pop","count"
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","root",2404768
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC",2139021
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",1869790
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",1725277
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",1569343
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",1336485
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",1333739
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",1124974
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",956402
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",236158
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",720244
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",188308
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",1032
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",187276
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",2473
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",184803
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",96054
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",88749
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",74966
"2025_08_30_AB_09-INF614-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",13783
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","root",1313704
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC",1154243
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",1022408
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",932997
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",852899
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",681615
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",668426
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",316077
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",279444
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",30955
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",248489
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",160599
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",2080
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",158519
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",1732
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",156787
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",105234
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",51553
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",32603
"2025_08_30_AB_09-INF622-00_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",18950
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","root",611904
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC",549416
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",424379
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",399846
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",373954
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",372953
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",364985
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",292228
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",278415
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",84815
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",193600
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",189766
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",713
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",189053
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",2505
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",186548
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",135760
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",50788
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",38940
"2025_08_30_AB_09-INF622-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",11848
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","root",688488
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC",616891
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC",512153
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",475077
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",411254
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",408058
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",394071
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",229306
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",191323
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",45507
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",145816
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",134506
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",518
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",133988
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",976
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",133012
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",92875
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",40137
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",34460
"2025_08_30_AB_09-INF627-09_SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",5677
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","root",1205232
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC",1096664
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC",866903
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB",809930
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45",802913
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes",791856
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris",788618
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes",693540
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live",686305
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump+",54501
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-",631804
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells",516757
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2+",7122
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-",509635
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2+",39056
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-",470579
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4+",327532
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-",143047
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8+",134090
"2025_08_30_AB_09-NY068_09-SEB (Unmixed).fcs","/singletsFSC/singletsSSC/singletsSSCB/CD45/NotMonocytes/nonDebris/lymphocytes/live/Dump-/Tcells/Vd2-/Va7.2-/CD4-/CD8-",8957
