"name","Date","CurrentConcentration","TotalVolume","TotalCells","DesiredConcentration","NeededVolume","IncreaseVolumeML","SpinDown","TubeMaxML","TotalTubes"
"INF069_00_01","20-Sep-2025",1e+07,1,"1e+07","6e+06","1.7","0.67",FALSE,1,"1.7"
"INF069_04_01","20-Sep-2025",1.2e+07,0.5,"6e+06","6e+06","1","0.5",FALSE,1,"1"
"INF069_04_02","20-Sep-2025",1e+07,0.5,"5e+06","6e+06","0.83","0.33",FALSE,1,"0.83"
"INF069_09_01","20-Sep-2025",5100000,0.5,"2.6e+06","6e+06","0.43","-0.067",TRUE,1,"0.43"
"Spin_INF069_09_01","20-Sep-2025",NA,NA,"2.6e+06","6e+06","0.43","0.43",FALSE,1,"0.43"
"INF069_09_02","20-Sep-2025",5400000,0.5,"2.7e+06","6e+06","0.45","-0.05",TRUE,1,"0.45"
"Spin_INF069_09_02","20-Sep-2025",NA,NA,"2.7e+06","6e+06","0.45","0.45",FALSE,1,"0.45"
"INF077_00_01","20-Sep-2025",8900000,1,"8.9e+06","6e+06","1.5","0.48",FALSE,1,"1.5"
"INF077_04_01","20-Sep-2025",9100000,0.5,"4.6e+06","6e+06","0.77","0.27",FALSE,1,"0.77"
"INF077_04_02","20-Sep-2025",8700000,0.5,"4.4e+06","6e+06","0.73","0.23",FALSE,1,"0.73"
"INF077_09_01","20-Sep-2025",1.1e+07,0.5,"5.5e+06","6e+06","0.92","0.42",FALSE,1,"0.92"
"INF077_09_02","20-Sep-2025",8300000,0.5,"4.2e+06","6e+06","0.7","0.2",FALSE,1,"0.7"
"INF197_00_01","20-Sep-2025",7e+06,1,"7e+06","6e+06","1.2","0.17",FALSE,1,"1.2"
"INF427_04_01","20-Sep-2025",7600000,0.5,"3.8e+06","6e+06","0.63","0.13",FALSE,1,"0.63"
"INF427_04_02","20-Sep-2025",6800000,0.5,"3.4e+06","6e+06","0.57","0.067",FALSE,1,"0.57"
"INF427_09_01","20-Sep-2025",4300000,0.5,"2.2e+06","6e+06","0.37","-0.13",TRUE,1,"0.37"
"Spin_INF427_09_01","20-Sep-2025",NA,NA,"2.2e+06","6e+06","0.37","0.37",FALSE,1,"0.37"
"INF427_09_02","20-Sep-2025",3300000,0.5,"1.6e+06","6e+06","0.27","-0.23",TRUE,1,"0.27"
"Spin_INF427_09_02","20-Sep-2025",NA,NA,"1.6e+06","6e+06","0.27","0.27",FALSE,1,"0.27"
"ND050_10","20-Sep-2025",7800000,1,"7.8e+06","6e+06","1.3","0.3",FALSE,1,"1.3"
"NY068_10","20-Sep-2025",1.8e+07,1,"1.8e+07","6e+06","3","2",FALSE,1,"3"
