"name","CD45","CD14","CD19","TandNKcells"
"INF046_00_01",1e+07,2900000,1400000,5100000
"INF046_04_01",9500000,1550000,3700000,3400000
"INF046_04_02",8500000,1400000,3250000,3450000
"INF046_09_01",6500000,850000,2200000,3050000
"INF046_09_02",6500000,1e+06,2100000,2900000
"INF063_00_01",7600000,1700000,860000,4900000
"INF063_04_01",2800000,220000,1200000,8e+05
"INF063_04_02",2900000,225000,1250000,9e+05
"INF063_09_01",2900000,275000,750000,1500000
"INF063_09_02",2100000,165000,550000,1150000
"INF101_00_01",9500000,2100000,1200000,6e+06
"INF101_04_01",6e+06,370000,1850000,3400000
"INF101_04_02",5500000,345000,1850000,3350000
"INF101_09_01",350000,11500,80000,235000
"INF101_09_02",480000,13000,110000,320000
"ND050_12",8300000,1300000,520000,6200000
"NY068_12",1.9e+07,3300000,860000,1.3e+07
